Date,Time,Dry_Bulb _C_22
11/18/2019,12:00:00,6.260683594
11/18/2019,16:00:00,6.303583984
11/18/2019,20:00:00,6.303583984
11/19/2019,0:00:00,6.389384766
11/19/2019,4:00:00,6.260683594
11/19/2019,8:00:00,6.260683594
11/19/2019,12:00:00,6.303583984
11/19/2019,16:00:00,6.389384766
11/19/2019,20:00:00,6.303583984
11/20/2019,0:00:00,6.303583984
11/20/2019,4:00:00,6.346484375
11/20/2019,8:00:00,6.303583984
11/20/2019,12:00:00,6.389384766
11/20/2019,16:00:00,6.432285156
11/20/2019,20:00:00,6.389384766
11/21/2019,0:00:00,6.389384766
11/21/2019,4:00:00,6.475185547
11/21/2019,8:00:00,6.518085938
11/21/2019,12:00:00,6.6896875
11/21/2019,16:00:00,6.646787109
11/21/2019,20:00:00,6.646787109
11/22/2019,0:00:00,6.560986328
11/22/2019,4:00:00,6.518085938
11/22/2019,8:00:00,6.389384766
11/22/2019,12:00:00,6.389384766
11/22/2019,16:00:00,6.346484375
11/22/2019,20:00:00,6.303583984
11/23/2019,0:00:00,6.260683594
11/23/2019,4:00:00,6.260683594
11/23/2019,8:00:00,6.217783203
11/23/2019,12:00:00,6.131982422
11/23/2019,16:00:00,6.260683594
11/23/2019,20:00:00,6.131982422
11/24/2019,0:00:00,6.131982422
11/24/2019,4:00:00,6.046181641
11/24/2019,8:00:00,5.960380859
11/24/2019,12:00:00,6.089082031
11/24/2019,16:00:00,6.131982422
11/24/2019,20:00:00,6.046181641
11/25/2019,0:00:00,5.917480469
11/25/2019,4:00:00,5.917480469
11/25/2019,8:00:00,5.917480469
11/25/2019,12:00:00,6.046181641
11/25/2019,16:00:00,6.089082031
11/25/2019,20:00:00,6.089082031
11/26/2019,0:00:00,6.089082031
11/26/2019,4:00:00,6.00328125
11/26/2019,8:00:00,6.00328125
11/26/2019,12:00:00,6.00328125
11/26/2019,16:00:00,6.131982422
11/26/2019,20:00:00,6.089082031
11/27/2019,0:00:00,6.174882813
11/27/2019,4:00:00,6.217783203
11/27/2019,8:00:00,6.260683594
11/27/2019,12:00:00,6.389384766
11/27/2019,16:00:00,6.260683594
11/27/2019,20:00:00,6.217783203
11/28/2019,0:00:00,6.131982422
11/28/2019,4:00:00,6.131982422
11/28/2019,8:00:00,6.089082031
11/28/2019,12:00:00,6.046181641
11/28/2019,16:00:00,5.960380859
11/28/2019,20:00:00,6.00328125
11/29/2019,0:00:00,5.960380859
11/29/2019,4:00:00,5.917480469
11/29/2019,8:00:00,5.917480469
11/29/2019,12:00:00,5.917480469
11/29/2019,16:00:00,5.917480469
11/29/2019,20:00:00,5.917480469
11/30/2019,0:00:00,5.874580078
11/30/2019,4:00:00,5.874580078
11/30/2019,8:00:00,5.874580078
11/30/2019,12:00:00,5.960380859
11/30/2019,16:00:00,5.917480469
11/30/2019,20:00:00,5.960380859
12/1/2019,0:00:00,5.917480469
12/1/2019,4:00:00,5.874580078
12/1/2019,8:00:00,5.831679688
12/1/2019,12:00:00,5.831679688
12/1/2019,16:00:00,5.745878906
12/1/2019,20:00:00,5.702978516
12/2/2019,0:00:00,5.660078125
12/2/2019,4:00:00,5.574277344
12/2/2019,8:00:00,5.574277344
12/2/2019,12:00:00,5.531376953
12/2/2019,16:00:00,5.531376953
12/2/2019,20:00:00,5.445576172
12/3/2019,0:00:00,5.445576172
12/3/2019,4:00:00,5.445576172
12/3/2019,8:00:00,5.359775391
12/3/2019,12:00:00,5.359775391
12/3/2019,16:00:00,5.402675781
12/3/2019,20:00:00,5.359775391
12/4/2019,0:00:00,5.359775391
12/4/2019,4:00:00,5.359775391
12/4/2019,8:00:00,5.402675781
12/4/2019,12:00:00,5.359775391
12/4/2019,16:00:00,5.359775391
12/4/2019,20:00:00,5.359775391
12/5/2019,0:00:00,5.359775391
12/5/2019,4:00:00,5.273974609
12/5/2019,8:00:00,5.273974609
12/5/2019,12:00:00,5.231074219
12/5/2019,16:00:00,5.273974609
12/5/2019,20:00:00,5.231074219
12/6/2019,0:00:00,5.231074219
12/6/2019,4:00:00,5.231074219
12/6/2019,8:00:00,5.273974609
12/6/2019,12:00:00,5.059472656
12/6/2019,16:00:00,5.059472656
12/6/2019,20:00:00,5.188173828
12/7/2019,0:00:00,5.316875
12/7/2019,4:00:00,5.188173828
12/7/2019,8:00:00,5.102373047
12/7/2019,12:00:00,5.102373047
12/7/2019,16:00:00,5.145273437
12/7/2019,20:00:00,5.102373047
12/8/2019,0:00:00,5.016572266
12/8/2019,4:00:00,4.973671875
12/8/2019,8:00:00,5.059472656
12/8/2019,12:00:00,5.102373047
12/8/2019,16:00:00,5.102373047
12/8/2019,20:00:00,5.016572266
12/9/2019,0:00:00,5.059472656
12/9/2019,4:00:00,5.016572266
12/9/2019,8:00:00,5.102373047
12/9/2019,12:00:00,5.102373047
12/9/2019,16:00:00,5.102373047
12/9/2019,20:00:00,5.188173828
12/10/2019,0:00:00,5.102373047
12/10/2019,4:00:00,5.016572266
12/10/2019,8:00:00,4.930771484
12/10/2019,12:00:00,4.802070313
12/10/2019,16:00:00,4.759169922
12/10/2019,20:00:00,4.759169922
12/11/2019,0:00:00,4.759169922
12/11/2019,4:00:00,4.673369141
12/11/2019,8:00:00,4.587568359
12/11/2019,12:00:00,4.415966797
12/11/2019,16:00:00,4.501767578
12/11/2019,20:00:00,4.373066406
12/12/2019,0:00:00,4.287265625
12/12/2019,4:00:00,4.244365234
12/12/2019,8:00:00,4.158564453
12/12/2019,12:00:00,4.201464844
12/12/2019,16:00:00,4.158564453
12/12/2019,20:00:00,4.201464844
12/13/2019,0:00:00,4.158564453
12/13/2019,4:00:00,4.201464844
12/13/2019,8:00:00,4.158564453
12/13/2019,12:00:00,4.201464844
12/13/2019,16:00:00,4.201464844
12/13/2019,20:00:00,4.287265625
12/14/2019,0:00:00,4.201464844
12/14/2019,4:00:00,4.201464844
12/14/2019,8:00:00,4.244365234
12/14/2019,12:00:00,4.244365234
12/14/2019,16:00:00,4.287265625
12/14/2019,20:00:00,4.330166016
12/15/2019,0:00:00,4.244365234
12/15/2019,4:00:00,4.287265625
12/15/2019,8:00:00,4.158564453
12/15/2019,12:00:00,4.115664063
12/15/2019,16:00:00,4.115664063
12/15/2019,20:00:00,4.029863281
12/16/2019,0:00:00,4.029863281
12/16/2019,4:00:00,4.029863281
12/16/2019,8:00:00,3.986962891
12/16/2019,12:00:00,3.9440625
12/16/2019,16:00:00,3.9440625
12/16/2019,20:00:00,3.9440625
12/17/2019,0:00:00,3.986962891
12/17/2019,4:00:00,3.9440625
12/17/2019,8:00:00,3.901162109
12/17/2019,12:00:00,3.815361328
12/17/2019,16:00:00,3.986962891
12/17/2019,20:00:00,3.901162109
12/18/2019,0:00:00,3.858261719
12/18/2019,4:00:00,3.772460938
12/18/2019,8:00:00,3.643759766
12/18/2019,12:00:00,3.643759766
12/18/2019,16:00:00,3.643759766
12/18/2019,20:00:00,3.557958984
12/19/2019,0:00:00,3.515058594
12/19/2019,4:00:00,3.557958984
12/19/2019,8:00:00,3.472158203
12/19/2019,12:00:00,3.429257813
12/19/2019,16:00:00,3.429257813
12/19/2019,20:00:00,3.472158203
12/20/2019,0:00:00,3.429257813
12/20/2019,4:00:00,3.429257813
12/20/2019,8:00:00,3.472158203
12/20/2019,12:00:00,3.472158203
12/20/2019,16:00:00,3.515058594
12/20/2019,20:00:00,3.472158203
12/21/2019,0:00:00,3.429257813
12/21/2019,4:00:00,3.472158203
12/21/2019,8:00:00,3.429257813
12/21/2019,12:00:00,3.557958984
12/21/2019,16:00:00,3.643759766
12/21/2019,20:00:00,3.557958984
12/22/2019,0:00:00,3.515058594
